Dataset,Series ID,Partition,Time,Value
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2015-07-01,27.245
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2015-08-01,27.03
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2015-09-01,27.03
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2015-10-01,27.18
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2015-11-01,27.09
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2015-12-01,27.03
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2016-01-01,27.025
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2016-02-01,27.025
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2016-03-01,27.055
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2016-04-01,27.055
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2016-05-01,27.04
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2016-06-01,27.02
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2016-07-01,27.13
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2016-08-01,27.03
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2016-09-01,27.03
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2016-10-01,27.02
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2016-11-01,27.025
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2016-12-01,27.06
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2017-01-01,27.02
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2017-02-01,27.02
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2017-03-01,27.02
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2017-04-01,27.03
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2017-05-01,26.92
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2017-06-01,26.42
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2017-07-01,26.195
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2017-08-01,26.08
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2017-09-01,26.105
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2017-10-01,25.975
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2017-11-01,25.67
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2017-12-01,25.495
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2018-01-01,25.54
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2018-02-01,25.27
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2018-03-01,25.42
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2018-04-01,25.43
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2018-05-01,25.54
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2018-06-01,25.79
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2018-07-01,26.02
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2018-08-01,25.6
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2018-09-01,25.735
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2018-10-01,25.715
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2018-11-01,25.92
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2018-12-01,25.955
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2019-01-01,25.725
